RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
F,550,2.0,CO,6.5,1.8,150.0,6.33,18.1,16.0,16.0,N,900,1.4303
F,550,2.0,CO,6.8,2.0,120.0,6.33,18.1,18.0,16.0,N,400,0.7017
A,600,2.0,MC,7.55,98.6,162.5,6.67,15.0,12.0,0.75,P,600,9.8169
F,500,2.0,CO,9.95,207.4,0.0,8.08,20.0,16.99,53.3,N,2200,85.4626
F,550,2.0,CO,6.5,0.53,150.0,6.33,18.1,16.0,0.47,P,900,0.0014
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,550,6.7373
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,691,80.6237
F,550,2.0,MC,7.2,0.0,280.0,6.33,18.1,17.0,0.47,P,800,0.0728
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,518,76.338
H,600,1.0,MC,6.08,100.0,150.0,5.93,20.0,9.8,0.09,N,160,8.3503
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,320,10.1319
F,550,2.0,CO,6.5,0.53,150.0,6.33,18.1,16.0,0.47,P,300,0.0005
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,450,8.175
F,500,2.0,CO,7.89,210.0,1454.17,6.5,13.88,14.27,0.3,N,400,33.6935
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,1400,64.3172
A,600,1.0,MC,6.61,100.0,150.0,5.93,20.0,9.8,0.09,N,640,16.2467
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,650,15.4155
F,500,2.0,MC,10.11,225.4,5.5,8.08,20.0,16.99,53.3,N,2200,90.4185
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,2000,75.2203
A,500,2.0,CO,9.01,204.0,139.6,6.5,28.24,14.27,0.3,N,300,12.1331
F,500,2.0,CO,8.35,216.0,164.81,6.5,12.69,14.27,0.3,N,200,25.3218
A,450,2.0,MC,10.97,15.28,49.0,8.08,5.53,6.58,7.06,P,200,0.0591
F,550,2.0,CO,6.5,1.8,80.0,6.33,18.1,16.0,16.0,N,400,0.6555
F,600,1.0,MC,5.94,113.5,250.0,5.93,20.0,9.8,0.01,P,80,7.0924
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,432,74.5272
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,750,4.4347
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,450,18.8756
F,500,2.0,CO,9.93,126.3,4.59,8.08,20.0,16.99,53.3,N,2800,67.2907
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,750,4.1179
H,600,1.0,MC,6.32,100.0,150.0,5.93,20.0,9.8,0.09,N,800,18.4129
