RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,150 ,5.6201 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,250 ,7.7577 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,350 ,9.7780 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,450 ,11.8584 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,550 ,13.3438 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,650 ,14.9324 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,750 ,16.3420 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,150 ,3.9203 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,250 ,5.9196 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,350 ,7.8991 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,450 ,9.1946 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,550 ,10.1209 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,650 ,10.5294 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,750 ,11.8130 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,150 ,5.4221 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,250 ,7.8275 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,350 ,9.3662 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,450 ,11.3711 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,550 ,12.1702 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,650 ,14.0736 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,750 ,15.2762 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,150 ,7.3191 
A,300 ,0.5 ,MC,8.75 ,1.95 ,3.93 ,7.56 ,54.16 ,18.00 ,0.87 ,N,250 ,9.7368 
